"Game","Mean_Power","SD_Power"
"common_interest",48.5227272727273,31.0988586019245
"common_interest_1",52.4615384615385,27.9782304036231
"common_interest_2",49.5384615384615,28.0608794492544
"common_interest_A",45.1904761904762,33.0765837850535
"common_interest_B",73.3095238095238,25.9384713760986
"costly_help",50.25,29.8111302766617
"costly_help_2",49.5128205128205,27.7117415689221
"costly_help_A",27.1428571428571,31.3684410526991
"costly_help_B",67.547619047619,29.8215852263476
"costly_punish",37.1363636363636,27.1983163886356
"costly_punish_1",46.051282051282,29.3041659674855
"free_help",26.0227272727273,28.1858356612659
"free_help_2",36.8974358974359,30.9768970548552
"free_punish",48.2045454545455,29.8278623807873
"near_dictator",14.2727272727273,19.1934625938754
"near_dictator_1",17.2820512820513,22.7155739734806
"near_dictator_B",32.0238095238095,31.6324070436865
"rational_punish",48.1818181818182,30.4503199870709
"rational_punish_A",20.2142857142857,23.5377597150659
"rational_punish_B",57.6428571428571,30.7141196008797
"safe_shot",69.0454545454545,35.4780997272078
"safe_shot_1",75.4358974358974,31.6300946566589
"safe_shot_2",76,26.2808715709033
"safe_shot_A",60.3809523809524,35.6205972074067
"strategic_dummy",34.2954545454545,29.45282356698
"strategic_dummy_1",45.6153846153846,32.7057176593228
"strategic_dummy_A",18.7142857142857,19.5177039261928
"strategic_dummy_B",61.7142857142857,25.917585812637
"trust_game",39.0909090909091,29.7491982943126
"trust_game_2",51.7692307692308,27.9496366029116
