"Game","Mean_Power","SD_Power"
"common_interest",48.5227272727273,31.0988586019245
"costly_help",50.25,29.8111302766617
"costly_punish",37.1363636363636,27.1983163886356
"free_help",26.0227272727273,28.1858356612659
"free_punish",48.2045454545455,29.8278623807873
"near_dictator",14.2727272727273,19.1934625938754
"rational_punish",48.1818181818182,30.4503199870709
"safe_shot",69.0454545454545,35.4780997272078
"strategic_dummy",34.2954545454545,29.45282356698
"trust_game",39.0909090909091,29.7491982943126
