"ID","Game","Power","P1_Expectation","P2_Expectation"
"5kmgv142r","near_dictator_1",0,1,1
"5kmgv142r","safe_shot_1",89,100,99
"5kmgv142r","safe_shot_2",94,100,1
"5kmgv142r","strategic_dummy_1",29,99,50
"5kmgv142r","trust_game_2",12,14,96
"727fa19f0","common_interest_1",24,75,0
"727fa19f0","common_interest_2",50,100,6
"727fa19f0","costly_help_2",100,63,75
"727fa19f0","costly_punish_1",24,76,25
"727fa19f0","free_help_2",85,100,24
"727fa19f0","near_dictator_1",0,40,0
"727fa19f0","safe_shot_1",26,96,9
"727fa19f0","safe_shot_2",75,92,37
"727fa19f0","strategic_dummy_1",0,75,50
"727fa19f0","trust_game_2",75,75,75
"947gj9545","common_interest_1",11,94,0
"947gj9545","common_interest_2",52,98,10
"947gj9545","costly_help_2",43,36,68
"947gj9545","costly_punish_1",39,83,6
"947gj9545","free_help_2",73,88,21
"947gj9545","near_dictator_1",36,26,32
"947gj9545","safe_shot_1",86,99,17
"947gj9545","safe_shot_2",88,100,23
"947gj9545","strategic_dummy_1",50,90,50
"947gj9545","trust_game_2",34,79,55
"9b86ocq9u","common_interest_1",42,63,0
"9b86ocq9u","common_interest_2",40,50,0
"9b86ocq9u","costly_help_2",25,50,76
"9b86ocq9u","costly_punish_1",50,50,25
"9b86ocq9u","free_help_2",26,50,7
"9b86ocq9u","near_dictator_1",76,25,13
"9b86ocq9u","safe_shot_1",11,0,10
"9b86ocq9u","safe_shot_2",72,100,30
"9b86ocq9u","strategic_dummy_1",38,66,50
"9b86ocq9u","trust_game_2",44,33,91
"a98st4zgk","common_interest_1",76,83,4
"a98st4zgk","common_interest_2",5,89,0
"a98st4zgk","costly_help_2",85,21,90
"a98st4zgk","costly_punish_1",22,75,11
"a98st4zgk","free_help_2",27,77,0
"a98st4zgk","near_dictator_1",2,0,0
"a98st4zgk","safe_shot_1",95,100,1
"a98st4zgk","safe_shot_2",96,100,4
"a98st4zgk","strategic_dummy_1",2,99,49
"a98st4zgk","trust_game_2",71,11,92
"cekgcay0u","common_interest_1",28,100,0
"cekgcay0u","common_interest_2",23,100,0
"cekgcay0u","costly_help_2",22,50,81
"cekgcay0u","costly_punish_1",32,89,0
"cekgcay0u","free_help_2",38,83,0
"cekgcay0u","near_dictator_1",4,3,0
"cekgcay0u","safe_shot_1",28,100,0
"cekgcay0u","safe_shot_2",100,100,25
"cekgcay0u","strategic_dummy_1",25,100,50
"cekgcay0u","trust_game_2",30,61,84
"cztfoqyu0","common_interest_1",28,71,17
"cztfoqyu0","common_interest_2",26,74,72
"cztfoqyu0","costly_help_2",31,70,68
"cztfoqyu0","costly_punish_1",22,27,32
"cztfoqyu0","free_help_2",28,70,25
"cztfoqyu0","near_dictator_1",25,30,29
"cztfoqyu0","safe_shot_1",23,70,32
"cztfoqyu0","safe_shot_2",52,100,72
"cztfoqyu0","strategic_dummy_1",23,73,50
"cztfoqyu0","trust_game_2",22,73,66
"e1g5y661m","common_interest_1",14,87,0
"e1g5y661m","common_interest_2",90,88,16
"e1g5y661m","costly_help_2",41,86,66
"e1g5y661m","costly_punish_1",19,100,0
"e1g5y661m","free_help_2",75,87,0
"e1g5y661m","near_dictator_1",16,13,0
"e1g5y661m","safe_shot_1",100,100,0
"e1g5y661m","safe_shot_2",97,100,21
"e1g5y661m","strategic_dummy_1",51,100,51
"e1g5y661m","trust_game_2",82,85,75
"eaymn4qp9","common_interest_1",22,95,2
"eaymn4qp9","common_interest_2",32,100,0
"eaymn4qp9","costly_help_2",30,14,95
"eaymn4qp9","costly_punish_1",5,12,11
"eaymn4qp9","free_help_2",8,92,5
"eaymn4qp9","near_dictator_1",17,3,2
"eaymn4qp9","safe_shot_1",96,100,3
"eaymn4qp9","safe_shot_2",86,100,13
"eaymn4qp9","strategic_dummy_1",0,98,50
"eaymn4qp9","trust_game_2",59,18,96
"frtwxkgxs","common_interest_1",50,75,0
"frtwxkgxs","common_interest_2",24,100,0
"frtwxkgxs","costly_help_2",25,0,99
"frtwxkgxs","costly_punish_1",23,77,0
"frtwxkgxs","free_help_2",0,25,0
"frtwxkgxs","near_dictator_1",1,0,0
"frtwxkgxs","safe_shot_1",75,98,0
"frtwxkgxs","safe_shot_2",73,100,0
"frtwxkgxs","strategic_dummy_1",49,99,50
"frtwxkgxs","trust_game_2",25,24,100
"g1e1lshdp","common_interest_1",64,77,26
"g1e1lshdp","common_interest_2",50,75,24
"g1e1lshdp","costly_help_2",23,38,75
"g1e1lshdp","costly_punish_1",36,24,76
"g1e1lshdp","free_help_2",25,75,0
"g1e1lshdp","near_dictator_1",76,26,0
"g1e1lshdp","safe_shot_1",50,26,50
"g1e1lshdp","safe_shot_2",0,24,25
"g1e1lshdp","strategic_dummy_1",75,100,50
"g1e1lshdp","trust_game_2",75,75,100
"g1z4x7ea6","common_interest_1",71,74,0
"g1z4x7ea6","common_interest_2",85,87,0
"g1z4x7ea6","costly_help_2",65,76,82
"g1z4x7ea6","costly_punish_1",16,10,0
"g1z4x7ea6","free_help_2",65,100,0
"g1z4x7ea6","near_dictator_1",0,12,0
"g1z4x7ea6","safe_shot_1",100,100,13
"g1z4x7ea6","safe_shot_2",77,100,14
"g1z4x7ea6","strategic_dummy_1",0,76,50
"g1z4x7ea6","trust_game_2",74,76,85
"gtsayyb2m","common_interest_1",75,75,0
"gtsayyb2m","common_interest_2",24,25,0
"gtsayyb2m","costly_help_2",0,25,100
"gtsayyb2m","costly_punish_1",74,25,1
"gtsayyb2m","free_help_2",74,76,0
"gtsayyb2m","near_dictator_1",0,0,100
"gtsayyb2m","safe_shot_1",100,100,100
"gtsayyb2m","safe_shot_2",25,100,0
"gtsayyb2m","strategic_dummy_1",0,100,50
"gtsayyb2m","trust_game_2",24,25,100
"j3cue9zat","common_interest_1",16,15,0
"j3cue9zat","common_interest_2",83,89,4
"j3cue9zat","costly_help_2",84,23,87
"j3cue9zat","costly_punish_1",85,13,9
"j3cue9zat","free_help_2",41,69,0
"j3cue9zat","near_dictator_1",26,2,0
"j3cue9zat","safe_shot_1",83,100,0
"j3cue9zat","safe_shot_2",87,100,2
"j3cue9zat","strategic_dummy_1",50,100,50
"j3cue9zat","trust_game_2",50,11,100
"j5278cymc","common_interest_1",76,69,27
"j5278cymc","common_interest_2",90,33,76
"j5278cymc","costly_help_2",96,68,29
"j5278cymc","costly_punish_1",79,76,34
"j5278cymc","free_help_2",92,26,28
"j5278cymc","near_dictator_1",100,78,86
"j5278cymc","safe_shot_1",89,69,61
"j5278cymc","safe_shot_2",96,23,73
"j5278cymc","strategic_dummy_1",9,25,68
"j5278cymc","trust_game_2",84,31,59
"j9cjg8lah","common_interest_1",69,94,1
"j9cjg8lah","common_interest_2",74,99,9
"j9cjg8lah","costly_help_2",85,30,87
"j9cjg8lah","costly_punish_1",80,27,10
"j9cjg8lah","free_help_2",86,97,14
"j9cjg8lah","near_dictator_1",11,1,2
"j9cjg8lah","safe_shot_1",96,99,10
"j9cjg8lah","safe_shot_2",94,100,0
"j9cjg8lah","strategic_dummy_1",82,99,51
"j9cjg8lah","trust_game_2",71,32,89
"jegqaswju","common_interest_1",98,73,0
"jegqaswju","common_interest_2",17,100,0
"jegqaswju","costly_help_2",100,0,100
"jegqaswju","costly_punish_1",30,0,0
"jegqaswju","free_help_2",27,100,0
"jegqaswju","near_dictator_1",0,0,0
"jegqaswju","safe_shot_1",100,100,0
"jegqaswju","safe_shot_2",100,100,0
"jegqaswju","strategic_dummy_1",0,100,51
"jegqaswju","trust_game_2",72,0,100
"jjc2xl4fm","common_interest_1",92,81,1
"jjc2xl4fm","common_interest_2",50,74,13
"jjc2xl4fm","costly_help_2",50,14,87
"jjc2xl4fm","costly_punish_1",81,81,25
"jjc2xl4fm","free_help_2",18,16,12
"jjc2xl4fm","near_dictator_1",17,19,5
"jjc2xl4fm","safe_shot_1",84,98,15
"jjc2xl4fm","safe_shot_2",67,72,2
"jjc2xl4fm","strategic_dummy_1",79,81,32
"jjc2xl4fm","trust_game_2",3,82,87
"jorau3jfy","common_interest_1",72,64,65
"jorau3jfy","common_interest_2",63,62,62
"jorau3jfy","costly_help_2",67,62,64
"jorau3jfy","costly_punish_1",73,63,44
"jorau3jfy","free_help_2",62,47,65
"jorau3jfy","near_dictator_1",29,37,37
"jorau3jfy","safe_shot_1",68,63,67
"jorau3jfy","safe_shot_2",77,65,66
"jorau3jfy","strategic_dummy_1",70,66,67
"jorau3jfy","trust_game_2",27,75,74
"kr64yowok","common_interest_1",26,72,22
"kr64yowok","common_interest_2",72,53,76
"kr64yowok","costly_help_2",79,49,34
"kr64yowok","costly_punish_1",7,70,27
"kr64yowok","free_help_2",27,27,80
"kr64yowok","near_dictator_1",25,24,32
"kr64yowok","safe_shot_1",98,78,58
"kr64yowok","safe_shot_2",98,50,81
"kr64yowok","strategic_dummy_1",72,67,48
"kr64yowok","trust_game_2",74,24,75
"lptpxgnsb","common_interest_1",75,75,0
"lptpxgnsb","common_interest_2",75,100,0
"lptpxgnsb","costly_help_2",0,25,100
"lptpxgnsb","costly_punish_1",24,25,25
"lptpxgnsb","free_help_2",0,100,0
"lptpxgnsb","near_dictator_1",0,0,0
"lptpxgnsb","safe_shot_1",100,100,0
"lptpxgnsb","safe_shot_2",100,100,0
"lptpxgnsb","strategic_dummy_1",50,100,50
"lptpxgnsb","trust_game_2",0,0,100
"mgprggtmq","common_interest_1",54,81,0
"mgprggtmq","common_interest_2",72,61,3
"mgprggtmq","costly_help_2",26,30,83
"mgprggtmq","costly_punish_1",51,83,0
"mgprggtmq","free_help_2",60,81,14
"mgprggtmq","near_dictator_1",0,0,11
"mgprggtmq","safe_shot_1",77,100,10
"mgprggtmq","safe_shot_2",85,100,12
"mgprggtmq","strategic_dummy_1",50,93,50
"mgprggtmq","trust_game_2",70,74,72
"mhs0h34u0","common_interest_1",26,81,0
"mhs0h34u0","common_interest_2",72,35,58
"mhs0h34u0","costly_help_2",38,61,68
"mhs0h34u0","costly_punish_1",66,62,18
"mhs0h34u0","free_help_2",2,99,19
"mhs0h34u0","near_dictator_1",5,21,16
"mhs0h34u0","safe_shot_1",97,100,19
"mhs0h34u0","safe_shot_2",98,100,20
"mhs0h34u0","strategic_dummy_1",24,100,50
"mhs0h34u0","trust_game_2",65,62,73
"n7tn657yv","common_interest_1",69,72,0
"n7tn657yv","common_interest_2",50,100,0
"n7tn657yv","costly_help_2",50,26,100
"n7tn657yv","costly_punish_1",15,75,24
"n7tn657yv","free_help_2",0,100,0
"n7tn657yv","near_dictator_1",0,0,0
"n7tn657yv","safe_shot_1",100,100,0
"n7tn657yv","safe_shot_2",63,100,0
"n7tn657yv","strategic_dummy_1",0,100,50
"n7tn657yv","trust_game_2",15,9,100
"nzw76r908","common_interest_1",100,100,0
"nzw76r908","common_interest_2",78,89,0
"nzw76r908","costly_help_2",50,21,73
"nzw76r908","costly_punish_1",100,89,0
"nzw76r908","free_help_2",100,62,0
"nzw76r908","near_dictator_1",23,30,74
"nzw76r908","safe_shot_1",100,100,78
"nzw76r908","safe_shot_2",100,100,22
"nzw76r908","strategic_dummy_1",100,100,50
"nzw76r908","trust_game_2",73,68,29
"ohn63s4ur","common_interest_1",37,56,0
"ohn63s4ur","common_interest_2",56,94,53
"ohn63s4ur","costly_help_2",52,84,67
"ohn63s4ur","costly_punish_1",59,74,15
"ohn63s4ur","free_help_2",27,80,1
"ohn63s4ur","near_dictator_1",16,19,11
