"Game","Mean_Power","SD_Power","Mean_P1_Expectation","SD_P1_Expectation","Mean_P2_Expectation","SD_P2_Expectation"
"common_interest",48.5227272727273,31.0988586019245,0.758181818181818,0.262326556008565,0.0611363636363636,0.152211846085628
"common_interest_1",52.4615384615385,27.9782304036231,0.726666666666667,0.244102365642533,0.0658974358974359,0.16943742749274
"common_interest_2",49.5384615384615,28.0608794492544,0.794358974358974,0.25313606567672,0.145641025641026,0.265813496863327
"costly_help",50.25,29.8111302766617,0.381590909090909,0.266998329250222,0.850909090909091,0.159779181660746
"costly_help_2",49.5128205128205,27.7117415689221,0.445384615384615,0.288825627178372,0.799230769230769,0.205456931270978
"costly_punish",37.1363636363636,27.1983163886356,0.659545454545455,0.263491357657616,0.257954545454545,0.297724545280666
"costly_punish_1",46.051282051282,29.3041659674855,0.585384615384615,0.301180538214524,0.152564102564103,0.19522885287081
"free_help",26.0227272727273,28.1858356612659,0.379090909090909,0.322077689470985,0.0843181818181818,0.166068040514538
"free_help_2",36.8974358974359,30.9768970548552,0.745641025641026,0.265417197632181,0.158717948717949,0.238174852700363
"free_punish",48.2045454545455,29.8278623807873,0.5425,0.257665052092377,0.450909090909091,0.333946230052977
"near_dictator",14.2727272727273,19.1934625938754,0.193409090909091,0.263553032321136,0.783636363636364,0.256887369302968
"near_dictator_1",17.2820512820513,22.7155739734806,0.187179487179487,0.235717814322982,0.136153846153846,0.243371228077336
"rational_punish",48.1818181818182,30.4503199870709,0.503863636363636,0.306109996259066,0.234090909090909,0.252497461942742
"safe_shot",69.0454545454545,35.4780997272078,0.910681818181818,0.232122639270136,0.206136363636364,0.269661423451886
"safe_shot_1",75.4358974358974,31.6300946566589,0.911025641025641,0.209658806432522,0.233589743589744,0.307874608613442
"safe_shot_2",76,26.2808715709033,0.906666666666667,0.219536992846468,0.213076923076923,0.263799703185598
"strategic_dummy",34.2954545454545,29.45282356698,0.875227272727273,0.250974738248495,0.514090909090909,0.0569503325762869
"strategic_dummy_1",45.6153846153846,32.7057176593228,0.877692307692308,0.179889754812884,0.516153846153846,0.0990113067603733
"trust_game",39.0909090909091,29.7491982943126,0.367272727272727,0.27899623767042,0.740227272727273,0.310988586019245
"trust_game_2",51.7692307692308,27.9496366029116,0.486410256410256,0.306855762271798,0.83,0.184861256650836
