"Game","Mean_Power","SD_Power","Mean_P1_Expectation","SD_P1_Expectation","Mean_P2_Expectation","SD_P2_Expectation"
"common_interest_A",45.1904761904762,33.0765837850535,0.874761904761905,0.24343314898664,0.512380952380952,0.0961657492855758
"common_interest_B",73.3095238095238,25.9384713760986,0.921666666666667,0.197273076385671,0.0592857142857143,0.197303688877323
"costly_help_A",27.1428571428571,31.3684410526991,0.214285714285714,0.28101855556427,0.498571428571429,0.106326038583389
"costly_help_B",67.547619047619,29.8215852263476,0.821428571428571,0.209989214921327,0.783571428571429,0.287519428217968
"near_dictator_B",32.0238095238095,31.6324070436865,0.58547619047619,0.337965234039361,0.138809523809524,0.249009769432724
"rational_punish_A",20.2142857142857,23.5377597150659,0.149047619047619,0.266447354648289,0.266428571428571,0.301426053129497
"rational_punish_B",57.6428571428571,30.7141196008797,0.873809523809524,0.179170886966474,0.228095238095238,0.264079054084264
"safe_shot_A",60.3809523809524,35.6205972074067,0.916904761904762,0.201124740994702,0.474761904761905,0.097411325410522
"strategic_dummy_A",18.7142857142857,19.5177039261928,0.0933333333333333,0.223712213505532,0.488333333333333,0.0772363072296414
"strategic_dummy_B",61.7142857142857,25.917585812637,0.875238095238095,0.23447125878513,0.96547619047619,0.0934227835832922
