"Game","Mean_Power","SD_Power","Mean_P1_Expectation","SD_P1_Expectation","Mean_P2_Expectation","SD_P2_Expectation"
"common_interest",48.5227272727273,31.0988586019245,0.758181818181818,0.262326556008565,0.0611363636363636,0.152211846085628
"costly_help",50.25,29.8111302766617,0.381590909090909,0.266998329250222,0.850909090909091,0.159779181660746
"costly_punish",37.1363636363636,27.1983163886356,0.659545454545455,0.263491357657616,0.257954545454545,0.297724545280666
"free_help",26.0227272727273,28.1858356612659,0.379090909090909,0.322077689470985,0.0843181818181818,0.166068040514538
"free_punish",48.2045454545455,29.8278623807873,0.5425,0.257665052092377,0.450909090909091,0.333946230052977
"near_dictator",14.2727272727273,19.1934625938754,0.193409090909091,0.263553032321136,0.783636363636364,0.256887369302968
"rational_punish",48.1818181818182,30.4503199870709,0.503863636363636,0.306109996259066,0.234090909090909,0.252497461942742
"safe_shot",69.0454545454545,35.4780997272078,0.910681818181818,0.232122639270136,0.206136363636364,0.269661423451886
"strategic_dummy",34.2954545454545,29.45282356698,0.875227272727273,0.250974738248495,0.514090909090909,0.0569503325762869
"trust_game",39.0909090909091,29.7491982943126,0.367272727272727,0.27899623767042,0.740227272727273,0.310988586019245
