"Game","Mean_Power","SD_Power"
"common_interest_A",45.1904761904762,33.0765837850535
"common_interest_B",73.3095238095238,25.9384713760986
"costly_help_A",27.1428571428571,31.3684410526991
"costly_help_B",67.547619047619,29.8215852263476
"near_dictator_B",32.0238095238095,31.6324070436865
"rational_punish_A",20.2142857142857,23.5377597150659
"rational_punish_B",57.6428571428571,30.7141196008797
"safe_shot_A",60.3809523809524,35.6205972074067
"strategic_dummy_A",18.7142857142857,19.5177039261928
"strategic_dummy_B",61.7142857142857,25.917585812637
