ID	Game	Power	P1_Expectation	P2_Expectation
n7tn657yv	near_dictator_1	0	0	0
n7tn657yv	safe_shot_1	100	100	0
n7tn657yv	safe_shot_2	63	100	0
n7tn657yv	strategic_dummy_1	0	100	50
n7tn657yv	trust_game_2	15	9	100
nzw76r908	common_interest_1	100	100	0
nzw76r908	common_interest_2	78	89	0
nzw76r908	costly_help_2	50	21	73
nzw76r908	costly_punish_1	100	89	0
nzw76r908	free_help_2	100	62	0
nzw76r908	near_dictator_1	23	30	74
nzw76r908	safe_shot_1	100	100	78
nzw76r908	safe_shot_2	100	100	22
nzw76r908	strategic_dummy_1	100	100	50
nzw76r908	trust_game_2	73	68	29
pck3gnjyk	common_interest_1	76	79	0
pck3gnjyk	common_interest_2	21	100	0
pck3gnjyk	costly_help_2	72	90	100
pck3gnjyk	costly_punish_1	68	90	0
pck3gnjyk	free_help_2	26	100	0
pck3gnjyk	near_dictator_1	0	16	0
pck3gnjyk	safe_shot_1	100	100	0
pck3gnjyk	safe_shot_2	76	100	0
pck3gnjyk	strategic_dummy_1	0	100	50
pck3gnjyk	trust_game_2	73	35	67
t74zk1y1n	common_interest_1	19	99	0
t74zk1y1n	common_interest_2	22	100	0
t74zk1y1n	costly_help_2	15	20	99
t74zk1y1n	costly_punish_1	74	4	0
t74zk1y1n	free_help_2	0	96	0
t74zk1y1n	near_dictator_1	24	0	0
t74zk1y1n	safe_shot_1	94	100	0
t74zk1y1n	safe_shot_2	25	100	3
t74zk1y1n	strategic_dummy_1	91	100	50
t74zk1y1n	trust_game_2	11	23	96
uo3csfta8	common_interest_1	27	21	4
uo3csfta8	common_interest_2	17	100	1
uo3csfta8	costly_help_2	50	27	78
uo3csfta8	costly_punish_1	50	28	20
uo3csfta8	free_help_2	0	76	0
uo3csfta8	near_dictator_1	18	7	15
uo3csfta8	safe_shot_1	0	99	4
uo3csfta8	safe_shot_2	70	92	7
uo3csfta8	strategic_dummy_1	92	86	50
uo3csfta8	trust_game_2	25	24	75
vcepnr2yl	common_interest_1	25	85	0
vcepnr2yl	common_interest_2	81	59	29
vcepnr2yl	costly_help_2	15	16	75
vcepnr2yl	costly_punish_1	6	92	7
vcepnr2yl	free_help_2	58	100	10
vcepnr2yl	near_dictator_1	12	84	0
vcepnr2yl	safe_shot_1	100	97	8
vcepnr2yl	safe_shot_2	100	100	31
vcepnr2yl	strategic_dummy_1	49	100	50
vcepnr2yl	trust_game_2	74	63	75
w4bjdm196	common_interest_1	99	95	79
w4bjdm196	common_interest_2	83	88	98
w4bjdm196	costly_help_2	79	77	81
w4bjdm196	costly_punish_1	82	79	87
w4bjdm196	free_help_2	80	95	97
w4bjdm196	near_dictator_1	77	84	86
w4bjdm196	safe_shot_1	67	72	72
w4bjdm196	safe_shot_2	76	73	75
w4bjdm196	strategic_dummy_1	75	72	70
w4bjdm196	trust_game_2	85	72	75
y5kvme9pj	common_interest_1	76	75	0
y5kvme9pj	common_interest_2	80	69	0
y5kvme9pj	costly_help_2	78	27	5
y5kvme9pj	costly_punish_1	77	66	9
y5kvme9pj	free_help_2	75	73	73
y5kvme9pj	near_dictator_1	25	76	24
y5kvme9pj	safe_shot_1	100	88	0
y5kvme9pj	safe_shot_2	25	75	8
y5kvme9pj	strategic_dummy_1	72	74	25
y5kvme9pj	trust_game_2	77	74	95
yzort533v	common_interest_1	50	76	24
yzort533v	common_interest_2	0	100	2
yzort533v	costly_help_2	74	78	74
yzort533v	costly_punish_1	73	76	26
yzort533v	free_help_2	50	24	22
yzort533v	near_dictator_1	1	3	27
yzort533v	safe_shot_1	72	100	22
yzort533v	safe_shot_2	24	74	24
yzort533v	strategic_dummy_1	77	77	50
yzort533v	trust_game_2	22	81	77
