"Game","Mean_Power","SD_Power"
"common_interest_1",52.4615384615385,27.9782304036231
"common_interest_2",49.5384615384615,28.0608794492544
"costly_help_2",49.5128205128205,27.7117415689221
"costly_punish_1",46.051282051282,29.3041659674855
"free_help_2",36.8974358974359,30.9768970548552
"near_dictator_1",17.2820512820513,22.7155739734806
"safe_shot_1",75.4358974358974,31.6300946566589
"safe_shot_2",76,26.2808715709033
"strategic_dummy_1",45.6153846153846,32.7057176593228
"trust_game_2",51.7692307692308,27.9496366029116
