Game,U_P1,U_P2,Relative Utility (P2 - P1)
common_interest,0,0.0,0.0
safe_shot,0,4.37,4.37
strategic_dummy,0,0.0,0.0
near_dictator,7,0.38,-6.62
costly_punish,-5,0.0,5.0
free_punish,-5,1.25,6.25
rational_punish,-5,1.05,6.05
costly_help,0,2.94,2.94
free_help,5,0.0,-5.0
trust_game,2,2.94,0.94
