"Game","Mean_Power","SD_Power","Mean_P1_Expectation","SD_P1_Expectation","Mean_P2_Expectation","SD_P2_Expectation"
"common_interest_1",52.4615384615385,27.9782304036231,0.726666666666667,0.244102365642533,0.0658974358974359,0.16943742749274
"costly_punish",37.1363636363636,27.1983163886356,0.659545454545455,0.263491357657616,0.257954545454545,0.297724545280666
"costly_punish_1",46.051282051282,29.3041659674855,0.585384615384615,0.301180538214524,0.152564102564103,0.19522885287081
"free_punish",48.2045454545455,29.8278623807873,0.5425,0.257665052092377,0.450909090909091,0.333946230052977
"rational_punish",48.1818181818182,30.4503199870709,0.503863636363636,0.306109996259066,0.234090909090909,0.252497461942742
"rational_punish_A",20.2142857142857,23.5377597150659,0.149047619047619,0.266447354648289,0.266428571428571,0.301426053129497
"safe_shot_1",75.4358974358974,31.6300946566589,0.911025641025641,0.209658806432522,0.233589743589744,0.307874608613442
"strategic_dummy_1",45.6153846153846,32.7057176593228,0.877692307692308,0.179889754812884,0.516153846153846,0.0990113067603733
"strategic_dummy_A",18.7142857142857,19.5177039261928,0.0933333333333333,0.223712213505532,0.488333333333333,0.0772363072296414
